"K";"K";"(\u v.u)";"(\u v.u)";"a -> b -> a";"a -> b -> a";"a -> b -> a";"a -> b -> a"
"S";"S";"(\u v w.u w (v w))";"(\u v w.u w (v w))";"(a -> b -> c) -> (a -> b) -> a -> c";"(a -> b -> c) -> (a -> b) -> a -> c";"(a -> b -> c) -> (a -> b) -> a -> c";"(a -> b -> c) -> (a -> b) -> a -> c"
"K K";"K K";"(\u v.u) (\u v.u)";"(\u v w.v)";"a -> b -> c -> b";"a -> b -> c -> b";"a -> b -> c -> b";"a -> b -> c -> b"
"K S";"K S";"(\u v.u) (\u v w.u w (v w))";"(\u v w x.v x (w x))";"a -> (b -> c -> d) -> (b -> c) -> b -> d";"a -> (b -> c -> d) -> (b -> c) -> b -> d";"a -> (b -> c -> d) -> (b -> c) -> b -> d";"a -> (b -> c -> d) -> (b -> c) -> b -> d"
"S K";"S K";"(\u v w.u w (v w)) (\u v.u)";"(\u v.v)";"(a -> b) -> a -> a";"a -> b -> b";"(a -> b) -> a -> a";"(a -> b) -> a -> a"
"S S";"S S";"(\u v w.u w (v w)) (\u v w.u w (v w))";"(\u v w.v w (u v w))";"((a -> b -> c) -> a -> b) -> (a -> b -> c) -> a -> c";"((a -> b -> c) -> a -> b) -> (a -> b -> c) -> a -> c";"((a -> b -> c) -> a -> b) -> (a -> b -> c) -> a -> c";"((a -> b -> c) -> a -> b) -> (a -> b -> c) -> a -> c"
"K K K";"K";"(\u v.u)";"(\u v.u)";"a -> b -> a";"a -> b -> a";"a -> b -> a";"a -> b -> a"
"K (K K)";"K (K K)";"(\u v.u) ((\u v.u) (\u v.u))";"(\u v w x.w)";"a -> b -> c -> d -> c";"a -> b -> c -> d -> c";"a -> b -> c -> d -> c";"a -> b -> c -> d -> c"
"K K S";"K";"(\u v.u)";"(\u v.u)";"a -> b -> a";"a -> b -> a";"a -> b -> a";"a -> b -> a"
"K (K S)";"K (K S)";"(\u v.u) ((\u v.u) (\u v w.u w (v w)))";"(\u v w x y.w y (x y))";"a -> b -> (c -> d -> e) -> (c -> d) -> c -> e";"a -> b -> (c -> d -> e) -> (c -> d) -> c -> e";"a -> b -> (c -> d -> e) -> (c -> d) -> c -> e";"a -> b -> (c -> d -> e) -> (c -> d) -> c -> e"
"K S K";"S";"(\u v w.u w (v w))";"(\u v w.u w (v w))";"(a -> b -> c) -> (a -> b) -> a -> c";"(a -> b -> c) -> (a -> b) -> a -> c";"(a -> b -> c) -> (a -> b) -> a -> c";"(a -> b -> c) -> (a -> b) -> a -> c"
"K (S K)";"K (S K)";"(\u v.u) ((\u v w.u w (v w)) (\u v.u))";"(\u v w.w)";"a -> (b -> c) -> b -> b";"a -> b -> c -> c";"a -> (b -> c) -> b -> b";"a -> (b -> c) -> b -> b"
"K S S";"S";"(\u v w.u w (v w))";"(\u v w.u w (v w))";"(a -> b -> c) -> (a -> b) -> a -> c";"(a -> b -> c) -> (a -> b) -> a -> c";"(a -> b -> c) -> (a -> b) -> a -> c";"(a -> b -> c) -> (a -> b) -> a -> c"
"K (S S)";"K (S S)";"(\u v.u) ((\u v w.u w (v w)) (\u v w.u w (v w)))";"(\u v w x.w x (v w x))";"a -> ((b -> c -> d) -> b -> c) -> (b -> c -> d) -> b -> d";"a -> ((b -> c -> d) -> b -> c) -> (b -> c -> d) -> b -> d";"a -> ((b -> c -> d) -> b -> c) -> (b -> c -> d) -> b -> d";"a -> ((b -> c -> d) -> b -> c) -> (b -> c -> d) -> b -> d"
"S K K";"S K K";"(\u v w.u w (v w)) (\u v.u) (\u v.u)";"(\u.u)";"a -> a";"a -> a";"a -> a";"a -> a"
"S (K K)";"S (K K)";"(\u v w.u w (v w)) ((\u v.u) (\u v.u))";"(\u v w.u v)";"(a -> b) -> a -> c -> b";"(a -> b) -> a -> c -> b";"(a -> b) -> a -> c -> b";"(a -> b) -> a -> c -> b"
"S K S";"S K S";"(\u v w.u w (v w)) (\u v.u) (\u v w.u w (v w))";"(\u.u)";"(a -> b -> c) -> a -> b -> c";"a -> a";"(a -> b -> c) -> a -> b -> c";"(a -> b -> c) -> a -> b -> c"
"S (K S)";"S (K S)";"(\u v w.u w (v w)) ((\u v.u) (\u v w.u w (v w)))";"(\u v w x.u v x (w x))";"(a -> b -> c -> d) -> a -> (b -> c) -> b -> d";"(a -> b -> c -> d) -> a -> (b -> c) -> b -> d";"(a -> b -> c -> d) -> a -> (b -> c) -> b -> d";"(a -> b -> c -> d) -> a -> (b -> c) -> b -> d"
"S S K";"S S K";"(\u v w.u w (v w)) (\u v w.u w (v w)) (\u v.u)";"(\u v.u v u)";"Nothing";"Nothing";"Nothing";"Nothing"
"S (S K)";"S (S K)";"(\u v w.u w (v w)) ((\u v w.u w (v w)) (\u v.u))";"(\u v.u v)";"((a -> b) -> a) -> (a -> b) -> a";"(a -> b) -> a -> b";"((a -> b) -> a) -> (a -> b) -> a";"((a -> b) -> a) -> (a -> b) -> a"
"S S S";"S S S";"(\u v w.u w (v w)) (\u v w.u w (v w)) (\u v w.u w (v w))";"(\u v.u v (\w.u w (v w)))";"Nothing";"Nothing";"Nothing";"Nothing"
"S (S S)";"S (S S)";"(\u v w.u w (v w)) ((\u v w.u w (v w)) (\u v w.u w (v w)))";"(\u v w.u v w (v (u v) w))";"(((a -> b -> c) -> a -> b) -> a -> b -> c)
->
((a -> b -> c) -> a -> b) -> a -> c";"(((a -> b -> c) -> a -> b) -> a -> b -> c)
->
((a -> b -> c) -> a -> b) -> a -> c";"(((a -> b -> c) -> a -> b) -> a -> b -> c)
->
((a -> b -> c) -> a -> b) -> a -> c";"(((a -> b -> c) -> a -> b) -> a -> b -> c)
->
((a -> b -> c) -> a -> b) -> a -> c"
"K K K K";"K K";"(\u v.u) (\u v.u)";"(\u v w.v)";"a -> b -> c -> b";"a -> b -> c -> b";"a -> b -> c -> b";"a -> b -> c -> b"
"K (K K) K";"K K";"(\u v.u) (\u v.u)";"(\u v w.v)";"a -> b -> c -> b";"a -> b -> c -> b";"a -> b -> c -> b";"a -> b -> c -> b"
"K K (K K)";"K";"(\u v.u)";"(\u v.u)";"a -> b -> a";"a -> b -> a";"a -> b -> a";"a -> b -> a"
"K (K K K)";"K K";"(\u v.u) (\u v.u)";"(\u v w.v)";"a -> b -> c -> b";"a -> b -> c -> b";"a -> b -> c -> b";"a -> b -> c -> b"
